Player ID,Player Name,Team
1,Christian Mathenia,Nuernberg
2,György Garics,Darmstadt
3,Luca Caldirola,Monza
4,Aytac Sulu,Darmstadt
5,Fabian Holland,Darmstadt
6,Marcel Heller,Augsburg
7,Florian Jungwirth,Darmstadt
8,Jérôme Gondorf,Freiburg
9,Tobias Kempe,Darmstadt
10,Jan Rosenthal,Darmstadt
11,Sandro Wagner,Bayern Munich
12,Mario Vrancic,Norwich
13,Konstantin Rausch,Dinamo Moscow
14,Marco Sailer,Darmstadt
15,Júnior Díaz,Darmstadt
16,Dominik Stroh-Engel,Darmstadt
18,Slobodan Rajkovic,Lokomotiv Moscow
19,Rune Jarstein,Hertha Berlin
20,Yanni Regäsel,Eintracht Frankfurt
21,Sebastian Langkamp,Werder Bremen
22,John Brooks,Hoffenheim
23,Marvin Plattenhardt,Hertha Berlin
24,Per Skjelbred,Hertha Berlin
25,Fabian Lustenberger,Hertha Berlin
26,Salomon Kalou,Hertha Berlin
27,Vladimir Darida,Hertha Berlin
28,Mitchell Weiser,Werder Bremen
29,Vedad Ibisevic,Schalke 04
30,Jens Hegeler,Hertha Berlin
31,Johannes van den Bergh,Hertha Berlin
32,Valentin Stocker,Hertha Berlin
34,Alexander Baumjohann,Hertha Berlin
35,Genki Haraguchi,VfB Stuttgart
36,Roy Beerens,Hertha Berlin
37,Loris Karius,Union Berlin
38,Daniel Brosinski,Mainz 05
39,Niko Bungert,Mainz 05
40,Stefan Bell,Mainz 05
41,Pierre Bengtsson,SC Bastia
42,Julian Baumgartlinger,Augsburg
43,Danny Latza,Schalke 04
44,Pablo De Blasis,Eibar
45,Yunus Malli,Wolfsburg
46,Jairo Samperio,Las Palmas
47,Yoshinori Muto,Eibar
48,Jhon Córdoba,FC Krasnodar
49,Christian Clemens,FC Cologne
50,Gonzalo Jara,Mainz 05
51,Jannik Huth,Paderborn
52,Alexander Hack,Mainz 05
53,Maximilian Beister,Mainz 05
54,Christoph Moritz,Mainz 05
55,Przemyslaw Tyton,Deportivo La Coruna
56,Daniel Schwaab,VfB Stuttgart
57,Toni Sunjic,Dinamo Moscow
58,Georg Niedermeier,Freiburg
59,Emiliano Insúa,VfB Stuttgart
60,Christian Gentner,Union Berlin
61,Geoffroy Serey Dié,VfB Stuttgart
62,Lukas Rupp,Norwich
63,Alexandru Maxim,Mainz 05
64,Filip Kostic,Juventus
65,Timo Werner,RasenBallsport Leipzig
66,Robbie Kruse,Bayer Leverkusen
67,Adam Hlousek,VfB Stuttgart
68,Boris Tashchy,VfB Stuttgart
69,Carlos Gruezo,Augsburg
70,Philip Heise,VfB Stuttgart
71,Timo Baumgartl,Union Berlin
72,Benjamin Uphoff,Freiburg
73,Oliver Baumann,Hoffenheim
74,Pavel Kaderábek,Hoffenheim
75,Niklas Süle,Borussia Dortmund
76,Fabian Schär,Newcastle United
77,Jin-Su Kim,Hoffenheim
78,Tarik Elyounoussi,Hoffenheim
79,Tobias Strobl,Augsburg
80,Pirmin Schwegler,Hannover 96
81,Jonathan Schmid,Freiburg
82,Nadiem Amiri,Bayer Leverkusen
83,Kevin Volland,Monaco
84,Ermin Bicakcic,Hoffenheim
85,Eduardo Vargas,Hoffenheim
86,Eugen Polanski,Hoffenheim
87,Joelinton,Newcastle United
88,Mark Uth,FC Cologne
90,Sebastian Rudy,Hoffenheim
91,Ron-Robert Zieler,FC Cologne
92,Hiroki Sakai,Marseille
93,Marcelo,Bordeaux
94,Christian Schulz,Hannover 96
95,Miiko Albornoz,Hannover 96
96,Salif Sané,Schalke 04
97,Ceyhun Gülselam,Hannover 96
98,Kenan Karaman,Schalke 04
99,Leon Andreasen,Hannover 96
100,Edgar Prib,Hannover 96
101,Allan Saint-Maximin,Newcastle United
102,Mike-Steven Bähre,Hannover 96
103,Charlison Benschop,Hannover 96
104,Mevlüt Erdinc,Metz
105,Felipe,Hannover 96
106,Waldemar Anton,VfB Stuttgart
107,Philipp Tschauner,RasenBallsport Leipzig
108,Manuel Schmiedebach,Union Berlin
109,Felix Wiedwald,Eintracht Frankfurt
110,Theodor Gebre Selassie,Werder Bremen
111,Jannik Vestergaard,Leicester
112,Alejandro Gálvez,Rayo Vallecano
113,Santiago García,Werder Bremen
114,Philipp Bargfrede,Werder Bremen
115,Fin Bartels,Werder Bremen
116,Florian Grillitsch,Hoffenheim
117,Clemens Fritz,Werder Bremen
118,Levin Öztunali,Union Berlin
119,Anthony Ujah,Union Berlin
120,Felix Kroos,Union Berlin
121,Melvyn Lorenzen,Werder Bremen
122,Claudio Pizarro,Werder Bremen
123,Assani Lukimya,Werder Bremen
124,Janek Sternberg,Werder Bremen
125,Maximilian Eggestein,Freiburg
126,Michael Zetterer,Werder Bremen
127,Timo Horn,FC Cologne
128,Pawel Olkowski,FC Cologne
129,Dominique Heintz,Bochum
130,Dominic Maroh,FC Cologne
131,Jonas Hector,FC Cologne
132,Matthias Lehmann,FC Cologne
133,Kevin Vogt,Hoffenheim
134,Marcel Risse,FC Cologne
135,Yuya Osako,Werder Bremen
136,Dusan Svento,FC Cologne
137,Anthony Modeste,Borussia Dortmund
138,Frederik Sörensen,FC Cologne
139,Simon Zoller,Bochum
140,Yannick Gerhardt,Wolfsburg
141,Philipp Hosiner,FC Cologne
142,Thomas Kessler,FC Cologne
143,Bard Finne,FC Cologne
144,Milos Jojic,FC Cologne
145,Diego Benaglio,Monaco
146,Christian Träsch,Wolfsburg
147,Naldo,Schalke 04
148,Dante,Nice
149,Marcel Schäfer,Wolfsburg
150,Josuha Guilavogui,Wolfsburg
151,Vieirinha,Wolfsburg
152,Julian Draxler,Paris Saint Germain
153,Maximilian Arnold,Wolfsburg
154,André Schürrle,Spartak Moscow
155,Max Kruse,Wolfsburg
156,Sebastian Jung,Wolfsburg
157,Daniel Caligiuri,Augsburg
158,Bas Dost,Eintracht Frankfurt
159,Koen Casteels,Wolfsburg
160,Nicklas Bendtner,Wolfsburg
161,Robin Knoche,Union Berlin
162,Timm Klose,Norwich
163,René Adler,Mainz 05
164,Gotoku Sakai,Hamburger SV
165,Emir Spahic,Hamburger SV
166,Cléber,Hamburger SV
167,Matthias Ostrzolek,Hannover 96
168,Gideon Jung,Greuther Fuerth
169,Lewis Holtby,Hamburger SV
170,Nicolai Müller,Hannover 96
171,Michael Gregoritsch,Freiburg
172,Ivo Ilicevic,Nuernberg
173,Pierre-Michel Lasogga,Hamburger SV
174,Aaron Hunt,Hamburger SV
175,Dennis Diekmeier,Hamburger SV
176,Sven Schipplock,Arminia Bielefeld
177,Marcelo Díaz,Celta Vigo
178,Jaroslav Drobny,Fortuna Duesseldorf
179,Zoltán Stieber,Hamburger SV
181,Bernd Leno,Fulham
182,Roberto Hilbert,Bayer Leverkusen
183,Jonathan Tah,Bayer Leverkusen
184,Ömer Toprak,Werder Bremen
185,Wendell,Bayer Leverkusen
186,Karim Bellarabi,Bayer Leverkusen
187,Christoph Kramer,Borussia M.Gladbach
188,Kevin Kampl,RasenBallsport Leipzig
189,Hakan Calhanoglu,Inter
190,Stefan Kießling,Bayer Leverkusen
191,Chicharito,Sevilla
192,Marlon Frey,Bayer Leverkusen
193,Giulio Donati,Monza
194,Admir Mehmedi,Wolfsburg
195,André Ramalho,Bayer Leverkusen
196,Dario Kresic,Bayer Leverkusen
197,Kyriakos Papadopoulos,Hamburger SV
198,Vladlen Yurchenko,Bayer Leverkusen
199,Yann Sommer,Bayern Munich
200,Andreas Christensen,Barcelona
201,Tony Jantschke,Borussia M.Gladbach
202,Håvard Nordtveit,Hoffenheim
203,Julian Korb,Hannover 96
204,Granit Xhaka,Arsenal
205,Mahmoud Dahoud,Borussia Dortmund
206,Oscar Wendt,Borussia M.Gladbach
207,Ibrahima Traoré,Borussia M.Gladbach
208,Lars Stindl,Borussia M.Gladbach
209,Josip Drmic,Norwich
210,Raffael,Borussia M.Gladbach
211,Marvin Schulz,Borussia M.Gladbach
212,Nico Elvedi,Borussia M.Gladbach
213,Thorgan Hazard,Borussia Dortmund
214,Tobias Sippel,Borussia M.Gladbach
215,Roel Brouwers,Borussia M.Gladbach
216,Branimir Hrgota,Greuther Fuerth
217,Manuel Neuer,Bayern Munich
218,Philipp Lahm,Bayern Munich
219,Holger Badstuber,VfB Stuttgart
220,Jérôme Boateng,Lyon
221,Rafinha,Bayern Munich
222,Arturo Vidal,Inter
223,Joshua Kimmich,Bayern Munich
224,Thomas Müller,Bayern Munich
225,Javi Martínez,Bayern Munich
226,Kingsley Coman,Bayern Munich
227,Robert Lewandowski,Barcelona
228,Sebastian Rode,Eintracht Frankfurt
229,Thiago Alcántara,Liverpool
230,Xabi Alonso,Bayern Munich
231,Sven Ulreich,Bayern Munich
232,Jan Kirchhoff,Sunderland
233,Ramazan Özcan,Bayer Leverkusen
234,Tobias Levels,Ingolstadt
235,Romain Brègerie,Ingolstadt
236,Marvin Matip,Ingolstadt
